distance_cm,time_s,accel,speed
9,0.58,4.0,22
11,0.668,4.0,22
15,0.8450001,4.0,22
20,1.065,4.0,22
35.4,1.744,4.0,22
40,1.947,4.0,22
50,2.388,4.0,22
70.7,3.301,4.0,22
100,4.594,4.0,22
140,6.357,4.0,22
1,0.151,4.2,22
2,0.229,4.2,22
3,0.29,4.2,22
4,0.341,4.2,22
5,0.386,4.2,22
7,0.473,4.2,22
9,0.561,4.2,22
11,0.65,4.2,22
15,0.825,4.2,22
20,1.046,4.2,22
35.4,1.726,4.2,22
40,1.928,4.2,22
50,2.369,4.2,22
70.7,3.282,4.2,22
100,4.574,4.2,22
140,6.338,4.2,22
1,0.144,4.4,22
2,0.219,4.4,22
3,0.277,4.4,22
4,0.326,4.4,22
5,0.368,4.4,22
7,0.456,4.4,22
9,0.545,4.4,22
11,0.633,4.4,22
15,0.809,4.4,22
20,1.03,4.4,22
35.4,1.709,4.4,22
40,1.912,4.4,22
50,2.353,4.4,22
70.7,3.265,4.4,22
100,4.558,4.4,22
140,6.322,4.4,22
1,0.138,4.6,22
2,0.21,4.6,22
3,0.265,4.6,22
4,0.312,4.6,22
5,0.354,4.6,22
7,0.443,4.6,22
9,0.53,4.6,22
11,0.619,4.6,22
15,0.795,4.6,22
20,1.016,4.6,22
35.4,1.694,4.6,22
40,1.898,4.6,22
50,2.338,4.6,22
70.7,3.251,4.6,22
100,4.544,4.6,22
140,6.308,4.6,22
1,0.132,4.8,22
2,0.201,4.8,22
3,0.254,4.8,22
4,0.299,4.8,22
5,0.342,4.8,22
7,0.43,4.8,22
9,0.518,4.8,22
11,0.607,4.8,22
15,0.783,4.8,22
20,1.004,4.8,22
35.4,1.683,4.8,22
40,1.885,4.8,22
50,2.326,4.8,22
70.7,3.239,4.8,22
100,4.531,4.8,22
140,6.295,4.8,22
1,0.127,5.0,22
2,0.193,5.0,22
3,0.244,5.0,22
4,0.287,5.0,22
5,0.331,5.0,22
7,0.419,5.0,22
9,0.508,5.0,22
11,0.596,5.0,22
15,0.772,5.0,22
20,0.992,5.0,22
35.4,1.671,5.0,22
40,1.875,5.0,22
50,2.315,5.0,22
70.7,3.228,5.0,22
100,4.521,5.0,22
140,6.284,5.0,22
1,0.123,5.2,22
2,0.185,5.2,22
3,0.234,5.2,22
4,0.277,5.2,22
5,0.322,5.2,22
7,0.409,5.2,22
9,0.498,5.2,22
11,0.586,5.2,22
15,0.763,5.2,22
20,0.983,5.2,22
35.4,1.662,5.2,22
40,1.865,5.2,22
50,2.306,5.2,22
70.7,3.218,5.2,22
100,4.511,5.2,22
140,6.275,5.2,22
1,0.118,5.4,22
2,0.179,5.4,22
3,0.226,5.4,22
4,0.269,5.4,22
5,0.312,5.4,22
7,0.401,5.4,22
9,0.49,5.4,22
11,0.577,5.4,22
15,0.754,5.4,22
20,0.974,5.4,22
35.4,1.653,5.4,22
40,1.857,5.4,22
50,2.297,5.4,22
70.7,3.21,5.4,22
100,4.502,5.4,22
140,6.267,5.4,22
1,0.212,3.0,28
2,0.32,3.0,28
3,0.405,3.0,28
4,0.477,3.0,28
5,0.54,3.0,28
7,0.65,3.0,28
9,0.745,3.0,28
11,0.8309999,3.0,28
15,0.981,3.0,28
20,1.149,3.0,28
35.4,1.681,3.0,28
40,1.841,3.0,28
50,2.186,3.0,28
70.7,2.901,3.0,28
100,3.914,3.0,28
140,5.297,3.0,28
1,0.198,3.2,28
2,0.301,3.2,28
3,0.38,3.2,28
4,0.447,3.2,28
5,0.506,3.2,28
7,0.61,3.2,28
9,0.698,3.2,28
11,0.779,3.2,28
15,0.9190001,3.2,28
20,1.091,3.2,28
35.4,1.622,3.2,28
40,1.782,3.2,28
50,2.126,3.2,28
70.7,2.842,3.2,28
100,3.856,3.2,28
140,5.238,3.2,28
1,0.187,3.4,28
2,0.283,3.4,28
3,0.358,3.4,28
4,0.421,3.4,28
5,0.476,3.4,28
7,0.574,3.4,28
9,0.658,3.4,28
11,0.734,3.4,28
15,0.8679999,3.4,28
20,1.041,3.4,28
35.4,1.574,3.4,28
40,1.733,3.4,28
50,2.078,3.4,28
70.7,2.794,3.4,28
100,3.807,3.4,28
140,5.189,3.4,28
1,0.176,3.6,28
2,0.267,3.6,28
3,0.338,3.6,28
4,0.398,3.6,28
5,0.45,3.6,28
7,0.543,3.6,28
9,0.622,3.6,28
11,0.693,3.6,28
15,0.828,3.6,28
20,1.001,3.6,28
35.4,1.534,3.6,28
40,1.692,3.6,28
50,2.038,3.6,28
70.7,2.753,3.6,28
100,3.766,3.6,28
140,5.149,3.6,28
1,0.167,3.8,28
2,0.253,3.8,28
3,0.32,3.8,28
4,0.377,3.8,28
5,0.427,3.8,28
7,0.514,3.8,28
9,0.589,3.8,28
11,0.656,3.8,28
15,0.793,3.8,28
20,0.967,3.8,28
35.4,1.499,3.8,28
40,1.658,3.8,28
50,2.004,3.8,28
70.7,2.719,3.8,28
100,3.732,3.8,28
140,5.114,3.8,28
1,0.159,4.0,28
2,0.24,4.0,28
3,0.304,4.0,28
4,0.358,4.0,28
5,0.405,4.0,28
7,0.489,4.0,28
9,0.56,4.0,28
11,0.626,4.0,28
15,0.764,4.0,28
20,0.938,4.0,28
35.4,1.47,4.0,28
40,1.629,4.0,28
50,1.975,4.0,28
70.7,2.69,4.0,28
100,3.703,4.0,28
140,5.086,4.0,28
1,0.151,4.2,28
2,0.229,4.2,28
3,0.29,4.2,28
4,0.341,4.2,28
5,0.386,4.2,28
7,0.465,4.2,28
9,0.534,4.2,28
11,0.601,4.2,28
15,0.74,4.2,28
20,0.913,4.2,28
35.4,1.445,4.2,28
40,1.604,4.2,28
50,1.95,4.2,28
70.7,2.665,4.2,28
100,3.678,4.2,28
140,5.061,4.2,28
1,0.145,4.4,28
2,0.219,4.4,28
3,0.277,4.4,28
4,0.326,4.4,28
5,0.369,4.4,28
7,0.444,4.4,28
9,0.511,4.4,28
11,0.58,4.4,28
15,0.718,4.4,28
20,0.891,4.4,28
35.4,1.424,4.4,28
40,1.583,4.4,28
50,1.928,4.4,28
70.7,2.643,4.4,28
100,3.657,4.4,28
140,5.039,4.4,28
1,0.138,4.6,28
2,0.209,4.6,28
3,0.265,4.6,28
4,0.312,4.6,28
5,0.353,4.6,28
7,0.425,4.6,28
9,0.493,4.6,28
11,0.561,4.6,28
15,0.7,4.6,28
20,0.8719999,4.6,28
35.4,1.405,4.6,28
40,1.564,4.6,28
50,1.909,4.6,28
70.7,2.625,4.6,28
100,3.638,4.6,28
140,5.021,4.6,28
1,0.133,4.8,28
2,0.2,4.8,28
3,0.254,4.8,28
4,0.299,4.8,28
5,0.338,4.8,28
7,0.408,4.8,28
9,0.476,4.8,28
11,0.545,4.8,28
15,0.684,4.8,28
20,0.856,4.8,28
35.4,1.389,4.8,28
40,1.548,4.8,28
50,1.893,4.8,28
70.7,2.609,4.8,28
100,3.622,4.8,28
140,5.005,4.8,28
1,0.127,5.0,28
2,0.193,5.0,28
3,0.244,5.0,28
4,0.287,5.0,28
5,0.325,5.0,28
7,0.393,5.0,28
9,0.462,5.0,28
11,0.531,5.0,28
15,0.6690001,5.0,28
20,0.842,5.0,28
35.4,1.374,5.0,28
40,1.534,5.0,28
50,1.879,5.0,28
70.7,2.595,5.0,28
100,3.607,5.0,28
140,4.99,5.0,28
1,0.122,5.2,28
2,0.185,5.2,28
3,0.234,5.2,28
4,0.276,5.2,28
5,0.312,5.2,28
7,0.38,5.2,28
9,0.449,5.2,28
11,0.519,5.2,28
15,0.657,5.2,28
20,0.829,5.2,28
35.4,1.362,5.2,28
40,1.521,5.2,28
50,1.866,5.2,28
70.7,2.582,5.2,28
100,3.595,5.2,28
140,4.978,5.2,28
1,0.118,5.4,28
2,0.179,5.4,28
3,0.226,5.4,28
4,0.266,5.4,28
5,0.301,5.4,28
7,0.369,5.4,28
9,0.438,5.4,28
11,0.507,5.4,28
15,0.645,5.4,28
20,0.8190001,5.4,28
35.4,1.35,5.4,28
40,1.51,5.4,28
50,1.855,5.4,28
70.7,2.571,5.4,28
100,3.583,5.4,28
140,4.966,5.4,28
1,0.212,3.0,77
2,0.321,3.0,77
3,0.406,3.0,77
4,0.477,3.0,77
5,0.539,3.0,77
7,0.65,3.0,77
9,0.746,3.0,77
11,0.8309999,3.0,77
15,0.981,3.0,77
20,1.143,3.0,77
35.4,1.545,3.0,77
40,1.646,3.0,77
50,1.851,3.0,77
70.7,2.217,3.0,77
100,2.656,3.0,77
140,3.164,3.0,77
1,0.199,3.2,77
2,0.3,3.2,77
3,0.38,3.2,77
4,0.447,3.2,77
5,0.507,3.2,77
7,0.609,3.2,77
9,0.699,3.2,77
11,0.779,3.2,77
15,0.92,3.2,77
20,1.073,3.2,77
35.4,1.449,3.2,77
40,1.545,3.2,77
50,1.737,3.2,77
70.7,2.082,3.2,77
100,2.494,3.2,77
140,2.977,3.2,77
1,0.187,3.4,77
2,0.283,3.4,77
3,0.358,3.4,77
4,0.421,3.4,77
5,0.476,3.4,77
7,0.574,3.4,77
9,0.658,3.4,77
11,0.733,3.4,77
15,0.866,3.4,77
20,1.009,3.4,77
35.4,1.365,3.4,77
40,1.455,3.4,77
50,1.636,3.4,77
70.7,1.96,3.4,77
100,2.35,3.4,77
140,2.829,3.4,77
1,0.176,3.6,77
2,0.267,3.6,77
3,0.338,3.6,77
4,0.398,3.6,77
5,0.451,3.6,77
7,0.542,3.6,77
9,0.622,3.6,77
11,0.693,3.6,77
15,0.818,3.6,77
20,0.954,3.6,77
35.4,1.29,3.6,77
40,1.375,3.6,77
50,1.547,3.6,77
70.7,1.853,3.6,77
100,2.222,3.6,77
140,2.705,3.6,77
1,0.167,3.8,77
2,0.253,3.8,77
3,0.32,3.8,77
4,0.377,3.8,77
5,0.427,3.8,77
7,0.514,3.8,77
9,0.59,3.8,77
11,0.656,3.8,77
15,0.775,3.8,77
20,0.9049999,3.8,77
35.4,1.223,3.8,77
40,1.304,3.8,77
50,1.466,3.8,77
70.7,1.757,3.8,77
100,2.113,3.8,77
140,2.601,3.8,77
1,0.159,4.0,77
2,0.241,4.0,77
3,0.305,4.0,77
4,0.358,4.0,77
5,0.406,4.0,77
7,0.488,4.0,77
9,0.56,4.0,77
11,0.625,4.0,77
15,0.737,4.0,77
20,0.859,4.0,77
35.4,1.162,4.0,77
40,1.24,4.0,77
50,1.394,4.0,77
70.7,1.672,4.0,77
100,2.023,4.0,77
140,2.511,4.0,77
1,0.151,4.2,77
2,0.229,4.2,77
3,0.289,4.2,77
4,0.341,4.2,77
5,0.386,4.2,77
7,0.466,4.2,77
9,0.533,4.2,77
11,0.595,4.2,77
15,0.703,4.2,77
20,0.8190001,4.2,77
35.4,1.108,4.2,77
40,1.182,4.2,77
50,1.328,4.2,77
70.7,1.594,4.2,77
100,1.946,4.2,77
140,2.434,4.2,77
1,0.145,4.4,77
2,0.219,4.4,77
3,0.276,4.4,77
4,0.325,4.4,77
5,0.369,4.4,77
7,0.445,4.4,77
9,0.51,4.4,77
11,0.568,4.4,77
15,0.671,4.4,77
20,0.783,4.4,77
35.4,1.059,4.4,77
40,1.129,4.4,77
50,1.269,4.4,77
70.7,1.522,4.4,77
100,1.88,4.4,77
140,2.367,4.4,77
1,0.138,4.6,77
2,0.209,4.6,77
3,0.265,4.6,77
4,0.311,4.6,77
5,0.353,4.6,77
7,0.426,4.6,77
9,0.488,4.6,77
11,0.5440001,4.6,77
15,0.642,4.6,77
20,0.749,4.6,77
35.4,1.013,4.6,77
40,1.08,4.6,77
50,1.215,4.6,77
70.7,1.464,4.6,77
100,1.822,4.6,77
140,2.31,4.6,77
1,0.132,4.8,77
2,0.2,4.8,77
3,0.254,4.8,77
4,0.299,4.8,77
5,0.338,4.8,77
7,0.408,4.8,77
9,0.468,4.8,77
11,0.521,4.8,77
15,0.615,4.8,77
20,0.718,4.8,77
35.4,0.972,4.8,77
40,1.036,4.8,77
50,1.166,4.8,77
70.7,1.414,4.8,77
100,1.771,4.8,77
140,2.259,4.8,77
1,0.127,5.0,77
2,0.193,5.0,77
3,0.243,5.0,77
4,0.287,5.0,77
5,0.325,5.0,77
7,0.392,5.0,77
9,0.449,5.0,77
11,0.501,5.0,77
15,0.591,5.0,77
20,0.69,5.0,77
35.4,0.934,5.0,77
40,0.996,5.0,77
50,1.12,5.0,77
70.7,1.369,5.0,77
100,1.727,5.0,77
140,2.214,5.0,77
1,0.122,5.2,77
2,0.185,5.2,77
3,0.235,5.2,77
4,0.276,5.2,77
5,0.312,5.2,77
7,0.377,5.2,77
9,0.432,5.2,77
11,0.481,5.2,77
15,0.569,5.2,77
20,0.664,5.2,77
35.4,0.899,5.2,77
40,0.958,5.2,77
50,1.078,5.2,77
70.7,1.33,5.2,77
100,1.687,5.2,77
140,2.175,5.2,77
1,0.118,5.4,77
2,0.179,5.4,77
3,0.226,5.4,77
4,0.266,5.4,77
5,0.301,5.4,77
7,0.363,5.4,77
9,0.416,5.4,77
11,0.464,5.4,77
15,0.548,5.4,77
20,0.64,5.4,77
35.4,0.866,5.4,77
40,0.923,5.4,77
50,1.042,5.4,77
70.7,1.294,5.4,77
100,1.652,5.4,77
140,2.14,5.4,77
1,0.212,3.0,130
2,0.321,3.0,130
3,0.406,3.0,130
4,0.477,3.0,130
5,0.54,3.0,130
7,0.65,3.0,130
9,0.746,3.0,130
11,0.83,3.0,130
15,0.98,3.0,130
20,1.143,3.0,130
35.4,1.545,3.0,130
40,1.646,3.0,130
50,1.851,3.0,130
70.7,2.218,3.0,130
100,2.656,3.0,130
140,3.164,3.0,130
1,0.198,3.2,130
2,0.301,3.2,130
3,0.38,3.2,130
4,0.447,3.2,130
5,0.506,3.2,130
7,0.609,3.2,130
9,0.699,3.2,130
11,0.779,3.2,130
15,0.92,3.2,130
20,1.073,3.2,130
35.4,1.449,3.2,130
40,1.545,3.2,130
50,1.737,3.2,130
70.7,2.082,3.2,130
100,2.494,3.2,130
140,2.97,3.2,130
1,0.187,3.4,130
2,0.283,3.4,130
3,0.358,3.4,130
4,0.421,3.4,130
5,0.476,3.4,130
7,0.574,3.4,130
9,0.658,3.4,130
11,0.734,3.4,130
15,0.866,3.4,130
20,1.009,3.4,130
35.4,1.365,3.4,130
40,1.456,3.4,130
50,1.636,3.4,130
70.7,1.961,3.4,130
100,2.351,3.4,130
140,2.801,3.4,130
1,0.176,3.6,130
2,0.267,3.6,130
3,0.338,3.6,130
4,0.398,3.6,130
5,0.45,3.6,130
7,0.543,3.6,130
9,0.622,3.6,130
11,0.693,3.6,130
15,0.8190001,3.6,130
20,0.954,3.6,130
35.4,1.289,3.6,130
40,1.376,3.6,130
50,1.546,3.6,130
70.7,1.854,3.6,130
100,2.222,3.6,130
140,2.648,3.6,130
1,0.167,3.8,130
2,0.254,3.8,130
3,0.321,3.8,130
4,0.377,3.8,130
5,0.426,3.8,130
7,0.514,3.8,130
9,0.589,3.8,130
11,0.657,3.8,130
15,0.776,3.8,130
20,0.904,3.8,130
35.4,1.223,3.8,130
40,1.305,3.8,130
50,1.466,3.8,130
70.7,1.758,3.8,130
100,2.108,3.8,130
140,2.513,3.8,130
1,0.159,4.0,130
2,0.241,4.0,130
3,0.304,4.0,130
4,0.358,4.0,130
5,0.406,4.0,130
7,0.488,4.0,130
9,0.56,4.0,130
11,0.624,4.0,130
15,0.737,4.0,130
20,0.86,4.0,130
35.4,1.163,4.0,130
40,1.241,4.0,130
50,1.393,4.0,130
70.7,1.672,4.0,130
100,2.004,4.0,130
140,2.39,4.0,130
1,0.152,4.2,130
2,0.229,4.2,130
3,0.289,4.2,130
4,0.341,4.2,130
5,0.386,4.2,130
7,0.466,4.2,130
9,0.534,4.2,130
11,0.595,4.2,130
15,0.702,4.2,130
20,0.8190001,4.2,130
35.4,1.108,4.2,130
40,1.181,4.2,130
50,1.329,4.2,130
70.7,1.594,4.2,130
100,1.911,4.2,130
140,2.282,4.2,130
1,0.144,4.4,130
2,0.219,4.4,130
3,0.277,4.4,130
4,0.326,4.4,130
5,0.369,4.4,130
7,0.445,4.4,130
9,0.51,4.4,130
11,0.567,4.4,130
15,0.671,4.4,130
20,0.783,4.4,130
35.4,1.059,4.4,130
40,1.129,4.4,130
50,1.27,4.4,130
70.7,1.522,4.4,130
100,1.828,4.4,130
140,2.178,4.4,130
1,0.139,4.6,130
2,0.21,4.6,130
3,0.264,4.6,130
4,0.311,4.6,130
5,0.353,4.6,130
7,0.426,4.6,130
9,0.488,4.6,130
11,0.5440001,4.6,130
15,0.642,4.6,130
20,0.749,4.6,130
35.4,1.013,4.6,130
40,1.081,4.6,130
50,1.215,4.6,130
70.7,1.458,4.6,130
100,1.749,4.6,130
140,2.089,4.6,130
1,0.133,4.8,130
2,0.2,4.8,130
3,0.254,4.8,130
4,0.299,4.8,130
5,0.338,4.8,130
7,0.408,4.8,130
9,0.468,4.8,130
11,0.521,4.8,130
15,0.616,4.8,130
20,0.718,4.8,130
35.4,0.971,4.8,130
40,1.036,4.8,130
50,1.165,4.8,130
70.7,1.399,4.8,130
100,1.679,4.8,130
140,2.004,4.8,130
1,0.127,5.0,130
2,0.193,5.0,130
3,0.244,5.0,130
4,0.287,5.0,130
5,0.325,5.0,130
7,0.392,5.0,130
9,0.449,5.0,130
11,0.5,5.0,130
15,0.591,5.0,130
20,0.69,5.0,130
35.4,0.934,5.0,130
40,0.996,5.0,130
50,1.12,5.0,130
70.7,1.344,5.0,130
100,1.613,5.0,130
140,1.924,5.0,130
1,0.123,5.2,130
2,0.185,5.2,130
3,0.234,5.2,130
4,0.276,5.2,130
5,0.313,5.2,130
7,0.376,5.2,130
9,0.432,5.2,130
11,0.481,5.2,130
15,0.569,5.2,130
20,0.664,5.2,130
35.4,0.899,5.2,130
40,0.958,5.2,130
50,1.078,5.2,130
70.7,1.293,5.2,130
100,1.554,5.2,130
140,1.854,5.2,130
1,0.118,5.4,130
2,0.178,5.4,130
3,0.226,5.4,130
4,0.266,5.4,130
5,0.301,5.4,130
7,0.363,5.4,130
9,0.416,5.4,130
11,0.464,5.4,130
15,0.548,5.4,130
20,0.639,5.4,130
35.4,0.866,5.4,130
40,0.923,5.4,130
50,1.04,5.4,130
70.7,1.247,5.4,130
100,1.497,5.4,130
140,1.789,5.4,130
1,0.211,3.0,11
2,0.321,3.0,11
3,0.408,3.0,11
4,0.497,3.0,11
5,0.586,3.0,11
7,0.764,3.0,11
9,0.943,3.0,11
11,1.12,3.0,11
15,1.476,3.0,11
20,1.921,3.0,11
35.4,3.29,3.0,11
40,3.7,3.0,11
50,4.589,3.0,11
70.7,6.431,3.0,11
100,9.038,3.0,11
1,0.211,3.0,15
2,0.321,3.0,15
3,0.405,3.0,15
4,0.477,3.0,15
5,0.54,3.0,15
7,0.6690001,3.0,15
9,0.8,3.0,15
11,0.93,3.0,15
15,1.19,3.0,15
20,1.516,3.0,15
35.4,2.517,3.0,15
40,2.817,3.0,15
50,3.468,3.0,15
70.7,4.814,3.0,15
100,6.721,3.0,15
140,9.324,3.0,15
1,0.198,3.2,15
2,0.301,3.2,15
3,0.38,3.2,15
4,0.447,3.2,15
5,0.51,3.2,15
7,0.641,3.2,15
9,0.771,3.2,15
11,0.901,3.2,15
15,1.16,3.2,15
20,1.486,3.2,15
35.4,2.488,3.2,15
40,2.788,3.2,15
50,3.438,3.2,15
70.7,4.785,3.2,15
100,6.692,3.2,15
140,9.295,3.2,15
1,0.187,3.4,15
2,0.283,3.4,15
3,0.358,3.4,15
4,0.421,3.4,15
5,0.486,3.4,15
7,0.616,3.4,15
9,0.746,3.4,15
11,0.877,3.4,15
15,1.137,3.4,15
20,1.463,3.4,15
35.4,2.464,3.4,15
40,2.764,3.4,15
50,3.415,3.4,15
70.7,4.761,3.4,15
100,6.668,3.4,15
140,9.271,3.4,15
1,0.176,3.6,15
2,0.268,3.6,15
3,0.338,3.6,15
4,0.401,3.6,15
5,0.466,3.6,15
7,0.597,3.6,15
9,0.727,3.6,15
11,0.857,3.6,15
15,1.117,3.6,15
1,0.211,3.0,15
2,0.321,3.0,15
3,0.405,3.0,15
4,0.477,3.0,15
5,0.54,3.0,15
7,0.6690001,3.0,15
9,0.8,3.0,15
11,0.93,3.0,15
15,1.19,3.0,15
20,1.516,3.0,15
35.4,2.517,3.0,15
40,2.817,3.0,15
50,3.468,3.0,15
70.7,4.814,3.0,15
100,6.721,3.0,15
140,9.324,3.0,15
1,0.198,3.2,15
2,0.301,3.2,15
3,0.38,3.2,15
4,0.447,3.2,15
5,0.51,3.2,15
7,0.641,3.2,15
9,0.771,3.2,15
11,0.901,3.2,15
15,1.16,3.2,15
20,1.486,3.2,15
35.4,2.488,3.2,15
40,2.788,3.2,15
50,3.438,3.2,15
70.7,4.785,3.2,15
100,6.692,3.2,15
140,9.294,3.2,15
1,0.187,3.4,15
2,0.283,3.4,15
3,0.358,3.4,15
4,0.421,3.4,15
5,0.485,3.4,15
7,0.616,3.4,15
9,0.746,3.4,15
11,0.877,3.4,15
15,1.137,3.4,15
20,1.462,3.4,15
35.4,2.464,3.4,15
40,2.764,3.4,15
50,3.415,3.4,15
70.7,4.761,3.4,15
100,6.668,3.4,15
140,9.271,3.4,15
1,0.176,3.6,15
2,0.268,3.6,15
3,0.338,3.6,15
4,0.401,3.6,15
5,0.466,3.6,15
7,0.597,3.6,15
9,0.727,3.6,15
11,0.856,3.6,15
15,1.117,3.6,15
20,1.442,3.6,15
35.4,2.445,3.6,15
40,2.744,3.6,15
50,3.394,3.6,15
70.7,4.741,3.6,15
100,6.648,3.6,15
140,9.25,3.6,15
1,0.167,3.8,15
2,0.253,3.8,15
3,0.32,3.8,15
4,0.384,3.8,15
5,0.449,3.8,15
7,0.58,3.8,15
9,0.71,3.8,15
11,0.84,3.8,15
15,1.1,3.8,15
20,1.425,3.8,15
35.4,2.428,3.8,15
40,2.728,3.8,15
50,3.378,3.8,15
70.7,4.724,3.8,15
100,6.631,3.8,15
140,9.233,3.8,15
1,0.159,4.0,15
2,0.24,4.0,15
3,0.305,4.0,15
4,0.37,4.0,15
5,0.436,4.0,15
7,0.566,4.0,15
9,0.696,4.0,15
11,0.826,4.0,15
15,1.086,4.0,15
20,1.411,4.0,15
35.4,2.413,4.0,15
40,2.713,4.0,15
50,3.364,4.0,15
70.7,4.711,4.0,15
100,6.617,4.0,15
140,9.219,4.0,15
1,0.151,4.2,15
2,0.229,4.2,15
3,0.293,4.2,15
4,0.358,4.2,15
5,0.423,4.2,15
7,0.554,4.2,15
9,0.684,4.2,15
11,0.814,4.2,15
15,1.074,4.2,15
20,1.4,4.2,15
35.4,2.402,4.2,15
40,2.701,4.2,15
50,3.352,4.2,15
70.7,4.698,4.2,15
100,6.605,4.2,15
140,9.208,4.2,15
1,0.144,4.4,15
2,0.219,4.4,15
3,0.283,4.4,15
4,0.348,4.4,15
5,0.413,4.4,15
7,0.5440001,4.4,15
9,0.674,4.4,15
11,0.805,4.4,15
15,1.065,4.4,15
20,1.392,4.4,15
35.4,2.395,4.4,15
40,2.696,4.4,15
50,3.347,4.4,15
70.7,4.697,4.4,15
100,6.607,4.4,15
140,9.215,4.4,15
1,0.138,4.6,15
2,0.21,4.6,15
3,0.274,4.6,15
4,0.338,4.6,15
5,0.403,4.6,15
7,0.535,4.6,15
9,0.664,4.6,15
11,0.795,4.6,15
15,1.054,4.6,15
20,1.38,4.6,15
35.4,2.382,4.6,15
40,2.681,4.6,15
50,3.332,4.6,15
70.7,4.679,4.6,15
100,6.586,4.6,15
140,9.188,4.6,15
1,0.132,4.8,15
2,0.201,4.8,15
3,0.266,4.8,15
4,0.332,4.8,15
5,0.396,4.8,15
7,0.528,4.8,15
9,0.659,4.8,15
11,0.789,4.8,15
15,1.051,4.8,15
20,1.377,4.8,15
35.4,2.383,4.8,15
40,2.684,4.8,15
50,3.336,4.8,15
70.7,4.689,4.8,15
100,6.603,4.8,15
140,9.215,4.8,15
1,0.128,5.0,15
2,0.195,5.0,15
3,0.26,5.0,15
4,0.324,5.0,15
5,0.389,5.0,15
7,0.521,5.0,15
9,0.65,5.0,15
11,0.781,5.0,15
15,1.042,5.0,15
20,1.368,5.0,15
35.4,2.372,5.0,15
40,2.672,5.0,15
50,3.323,5.0,15
70.7,4.673,5.0,15
100,6.583,5.0,15
140,9.191,5.0,15
1,0.122,5.2,15
2,0.188,5.2,15
3,0.253,5.2,15
4,0.318,5.2,15
5,0.384,5.2,15
7,0.515,5.2,15
9,0.644,5.2,15
11,0.775,5.2,15
15,1.036,5.2,15
20,1.362,5.2,15
35.4,2.366,5.2,15
40,2.666,5.2,15
50,3.318,5.2,15
70.7,4.667,5.2,15
100,6.577,5.2,15
140,9.185,5.2,15
1,0.118,5.4,15
2,0.183,5.4,15
3,0.249,5.4,15
4,0.314,5.4,15
5,0.378,5.4,15
7,0.51,5.4,15
9,0.64,5.4,15
11,0.771,5.4,15
15,1.033,5.4,15
20,1.359,5.4,15
35.4,2.365,5.4,15
40,2.665,5.4,15
50,3.318,5.4,15
70.7,4.671,5.4,15
100,6.585,5.4,15
140,9.197,5.4,15
1,0.212,3.0,11
2,0.321,3.0,11
3,0.408,3.0,11
4,0.497,3.0,11
5,0.586,3.0,11
7,0.764,3.0,11
9,0.943,3.0,11
11,1.12,3.0,11
15,1.476,3.0,11
20,1.921,3.0,11
35.4,3.29,3.0,11
40,3.7,3.0,11
50,4.589,3.0,11
70.7,6.431,3.0,11
100,9.038,3.0,11
1,0.199,3.2,11
2,0.3,3.2,11
3,0.388,3.2,11
4,0.477,3.2,11
5,0.566,3.2,11
7,0.745,3.2,11
9,0.924,3.2,11
11,1.102,3.2,11
15,1.459,3.2,11
20,1.905,3.2,11
35.4,3.279,3.2,11
40,3.69,3.2,11
50,4.581,3.2,11
70.7,6.428,3.2,11
100,9.043,3.2,11
1,0.187,3.4,11
2,0.283,3.4,11
3,0.371,3.4,11
4,0.461,3.4,11
5,0.549,3.4,11
7,0.728,3.4,11
9,0.906,3.4,11
11,1.084,3.4,11
15,1.44,3.4,11
20,1.886,3.4,11
35.4,3.258,3.4,11
40,3.668,3.4,11
50,4.558,3.4,11
70.7,6.403,3.4,11
100,9.013,3.4,11
1,0.176,3.6,11
2,0.268,3.6,11
3,0.358,3.6,11
4,0.447,3.6,11
5,0.536,3.6,11
7,0.714,3.6,11
9,0.893,3.6,11
11,1.07,3.6,11
15,1.427,3.6,11
20,1.872,3.6,11
35.4,3.244,3.6,11
40,3.655,3.6,11
50,4.544,3.6,11
70.7,6.389,3.6,11
100,9.0,3.6,11
1,0.167,3.8,11
2,0.257,3.8,11
3,0.346,3.8,11
4,0.435,3.8,11
5,0.524,3.8,11
7,0.702,3.8,11
9,0.88,3.8,11
11,1.057,3.8,11
15,1.414,3.8,11
20,1.859,3.8,11
35.4,3.228,3.8,11
40,3.638,3.8,11
50,4.527,3.8,11
70.7,6.369,3.8,11
100,8.976,3.8,11
1,0.159,4.0,11
2,0.247,4.0,11
3,0.337,4.0,11
4,0.426,4.0,11
5,0.515,4.0,11
7,0.694,4.0,11
9,0.8719999,4.0,11
11,1.05,4.0,11
15,1.407,4.0,11
20,1.854,4.0,11
35.4,3.228,4.0,11
40,3.638,4.0,11
50,4.53,4.0,11
70.7,6.377,4.0,11
100,8.991,4.0,11
1,0.151,4.2,11
2,0.239,4.2,11
3,0.329,4.2,11
4,0.417,4.2,11
5,0.506,4.2,11
7,0.685,4.2,11
9,0.862,4.2,11
11,1.04,4.2,11
15,1.396,4.2,11
20,1.84,4.2,11
35.4,3.211,4.2,11
40,3.62,4.2,11
50,4.509,4.2,11
70.7,6.351,4.2,11
100,8.958,4.2,11
1,0.145,4.4,11
2,0.233,4.4,11
3,0.322,4.4,11
4,0.411,4.4,11
5,0.5,4.4,11
7,0.679,4.4,11
9,0.857,4.4,11
